1 , Generation , 1 , Euclid , 0
1 , Generation , 2 , Euclid , 0
1 , Generation , 3 , Euclid , 31.5302378764881
1 , Generation , 4 , Euclid , 7.710308091375094
1 , Generation , 5 , Euclid , 42.558011351114644
1 , Generation , 6 , Euclid , 70.98150558867022
1 , Generation , 7 , Euclid , 3.478246143624531
1 , Generation , 8 , Euclid , 37.14006258480965
1 , Generation , 6 , Euclid , 141.96301117734046
2 , Generation , 10 , Euclid , 29.490808218865897
2 , Generation , 11 , Euclid , 41.529676377242446
2 , Generation , 12 , Euclid , 49.2180893018675
2 , Generation , 13 , Euclid , 20.482257838612632
2 , Generation , 14 , Euclid , 42.403930254443296
2 , Generation , 15 , Euclid , 19.422153622425288
2 , Generation , 16 , Euclid , 8.183611878633844
2 , Generation , 17 , Euclid , 9.720362105323517
1 , Generation , 1 , Euclid , 0
1 , Generation , 2 , Euclid , 6.536787765217157
1 , Generation , 3 , Euclid , 270.5523616817213
1 , Generation , 4 , Euclid , 16.53641573219276
1 , Generation , 5 , Euclid , 0
1 , Generation , 6 , Euclid , 100.82418762298519
1 , Generation , 7 , Euclid , 12.488596833832682
1 , Generation , 8 , Euclid , 56.59460793271125
1 , Generation , 3 , Euclid , 541.1047233634418
2 , Generation , 10 , Euclid , 0
2 , Generation , 11 , Euclid , 180.75366573909182
2 , Generation , 12 , Euclid , 87.55488548899892
2 , Generation , 13 , Euclid , 34.96726330368413
2 , Generation , 14 , Euclid , 283.7877919697693
2 , Generation , 15 , Euclid , 33.65990319559234
2 , Generation , 16 , Euclid , 176.8018647915184
2 , Generation , 17 , Euclid , 16.161563445989625
2 , Generation , 14 , Euclid , 567.575583939539
1 , Generation , 3 , Euclid , 811.6570850451654
3 , Generation , 18 , Euclid , 355.15207652995883
3 , Generation , 19 , Euclid , 51.878677465548826
3 , Generation , 20 , Euclid , 320.69494626578336
3 , Generation , 21 , Euclid , 463.33383231787576
3 , Generation , 22 , Euclid , 11.483721491194045
3 , Generation , 23 , Euclid , 10.310965606972339
3 , Generation , 24 , Euclid , 4.2902440422590225
3 , Generation , 25 , Euclid , 8.63793120482215
3 , Generation , 21 , Euclid , 926.6676646357506
2 , Generation , 14 , Euclid , 851.3633759093101
1 , Generation , 3 , Euclid , 1082.2094467268898
4 , Generation , 26 , Euclid , 0
4 , Generation , 27 , Euclid , 16.73197264027213
4 , Generation , 28 , Euclid , 33.06238716949919
4 , Generation , 29 , Euclid , 20.11803553743658
4 , Generation , 30 , Euclid , 7.894316650378812
4 , Generation , 31 , Euclid , 4.770243555335824
4 , Generation , 32 , Euclid , 11.493121644675616
4 , Generation , 33 , Euclid , 3.1284468861297534
4 , Generation , 28 , Euclid , 66.12477433899853
2 , Generation , 14 , Euclid , 1135.151167879082
3 , Generation , 21 , Euclid , 1390.001496953627
1 , Generation , 3 , Euclid , 1352.761808408609
5 , Generation , 34 , Euclid , 9.802184133083385
5 , Generation , 35 , Euclid , 9.240793503026302
5 , Generation , 36 , Euclid , 0
5 , Generation , 37 , Euclid , 0
5 , Generation , 38 , Euclid , 0
5 , Generation , 39 , Euclid , 0
5 , Generation , 40 , Euclid , 0
5 , Generation , 41 , Euclid , 7.657062682345902
