1 , Generation , 1 , Euclid , 9.239063256599275
1 , Generation , 2 , Euclid , 32.24669120124664
1 , Generation , 3 , Euclid , 3.2605430723607274
1 , Generation , 4 , Euclid , 0
1 , Generation , 5 , Euclid , 5.260668687490114
1 , Generation , 6 , Euclid , 13.42490252678838
1 , Generation , 7 , Euclid , 9.170544205635295
1 , Generation , 8 , Euclid , 7.8395439642156255
1 , Generation , 2 , Euclid , 64.49338240249332
2 , Generation , 10 , Euclid , 24.418802005326313
2 , Generation , 11 , Euclid , 54.41797313219231
2 , Generation , 12 , Euclid , 9.605604206934386
2 , Generation , 13 , Euclid , 23.732238765425826
2 , Generation , 14 , Euclid , 23.803515756143533
2 , Generation , 15 , Euclid , 41.40333320824543
2 , Generation , 16 , Euclid , 4.527463148031928
2 , Generation , 17 , Euclid , 8.512284665878555
2 , Generation , 11 , Euclid , 108.8359462643845
1 , Generation , 2 , Euclid , 96.74007360373994
3 , Generation , 18 , Euclid , 18.959994365480124
3 , Generation , 19 , Euclid , 2.4681175749645674
3 , Generation , 20 , Euclid , 19.673409707245536
3 , Generation , 21 , Euclid , 3.2366293995443285
3 , Generation , 22 , Euclid , 88.242113461625
3 , Generation , 23 , Euclid , 10.913764094137582
3 , Generation , 24 , Euclid , 0
3 , Generation , 25 , Euclid , 29.27079554974221
3 , Generation , 22 , Euclid , 176.48422692324996
1 , Generation , 2 , Euclid , 128.98676480498656
2 , Generation , 11 , Euclid , 163.25391939657686
4 , Generation , 26 , Euclid , 101.58907792034697
4 , Generation , 27 , Euclid , 104.39597877388323
4 , Generation , 28 , Euclid , 42.894357211526746
4 , Generation , 29 , Euclid , 9.113304105532615
4 , Generation , 30 , Euclid , 16.25070712590152
4 , Generation , 31 , Euclid , 0
4 , Generation , 32 , Euclid , 22.30625726764419
4 , Generation , 33 , Euclid , 31.08148758660973
4 , Generation , 27 , Euclid , 208.79195754776637
1 , Generation , 2 , Euclid , 161.23345600623304
2 , Generation , 11 , Euclid , 217.67189252876923
3 , Generation , 22 , Euclid , 264.7263403848749
5 , Generation , 34 , Euclid , 62.08053512921363
5 , Generation , 35 , Euclid , 71.61691233875862
5 , Generation , 36 , Euclid , 53.192890684917245
5 , Generation , 37 , Euclid , 114.07720701627522
